2,10407,"Selina Jörg, Lukas Straumann","ethanol",201012221430,,,,
"ID","Gegendruck [kPa]","On/Off control","Frequenz [Hz]","TempMedium [°C]","TempPumpe [°C]","TempUmgebung [°C]","FlussSensor [ml/min]","FlussWaage[ml/min]"
1001,0,1,10,22.877,26.548,24.115,1.127,1.013
1002,0,1,20,22.902,26.462,23.924,0.772,1.018
1003,0,1,30,22.952,26.608,24.054,1.978,2.025
1004,0,1,40,22.893,26.439,24.106,2.486,2.729
1005,0,1,45,22.943,26.328,23.881,2.743,2.997
1006,0,1,47.5,22.91,26.173,24.007,2.707,2.962
1007,0,1,50,23.057,26.251,24.029,2.647,2.871
1008,0,1,52.5,23.06,26.181,23.879,2.563,2.684
1009,0,1,55,23.109,26.218,23.959,2.547,2.511
1010,0,1,60,23.071,26.14,23.993,2.633,2.415
