2,10396,"Selina Jörg, Lukas Straumann","ethanol",201012221330,,,,
"ID","Gegendruck [kPa]","On/Off control","Frequenz [Hz]","TempMedium [°C]","TempPumpe [°C]","TempUmgebung [°C]","FlussSensor [ml/sec]","FlussWaage[ml/sec]"
1001,10,1,200,23.47,24.359,24.085,4.792,5.904
1002,7.5,1,200,23.643,24.384,24.071,4.869,6.152
1003,5,1,200,23.635,24.304,24.15,4.892,6.41
1004,2.5,1,200,23.646,24.307,24.06,4.956,6.673
1005,0,1,200,23.665,24.318,24.06,5.227,6.856
1006,-2.5,1,200,23.376,24.381,23.979,5.354,7.251
1007,-5,1,200,23.286,24.005,23.926,5.613,7.686
1008,-7.5,1,200,23.382,23.994,23.925,6.601,8.461
1009,-10,1,200,23.205,23.728,24.255,5.327,8.005
1010,-2.5,0,200,23.218,24.187,23.871,0.747,0.82
1011,-5,0,200,23.273,24.105,23.928,2.081,1.929
1012,-7.5,0,200,23.419,24.034,23.968,3.055,2.886
1013,-10,0,200,23.302,23.876,24.004,4.007,4.122
