2,10397,"Selina Jörg, Lukas Straumann","ethanol",201012211025,,,,
"ID","Gegendruck [kPa]","On/Off control","Frequenz [Hz]","TempMedium [°C]","TempPumpe [°C]","TempUmgebung [°C]","FlussSensor [ml/sec]","FlussWaage[ml/sec]"
1001,0,1,60,22.029,22.513,22.873,3.523,3.752
1002,0,1,80,21.941,22.516,23.046,3.955,4.861
1003,0,1,120,21.95,22.54,23.063,5.257,6.775
1004,0,1,160,21.991,22.534,22.97,4.726,5.463
1005,0,1,180,22.019,22.374,22.921,5.798,6.268
1006,0,1,190,22.045,22.571,23.068,6.278,6.577
1007,0,1,200,21.981,22.568,23.134,7.018,6.947
1008,0,1,210,22.065,22.621,23.193,7.717,7.453
1009,0,1,220,22.006,22.447,22.908,8.237,7.975
1010,0,1,240,21.941,22.558,23.086,9.621,9.18
