2,10406,"Selina Jörg, Lukas Straumann","oil",201012201415,,,,
"ID","Gegendruck [kPa]","On/Off control","Frequenz [Hz]","TempMedium [°C]","TempPumpe [°C]","TempUmgebung [°C]","FlussSensor [ml/min]","FlussWaage[ml/min]"
1001,0,1,10,24.183,27.351,24.237,0.361,0.259
1002,0,1,20,24.171,27.159,24.056,0.34,0.264
1003,0,1,30,24.173,27.53,23.991,0.296,0.229
1004,0,1,40,24.137,27.271,24.17,0.281,0.215
1005,0,1,45,24.212,27.523,24.234,0.267,0.185
1006,0,1,47.5,23.849,26.892,24.086,0.253,0.18
1007,0,1,50,23.875,26.748,23.988,0.252,0.185
1008,0,1,52.5,23.955,27.278,23.815,0.244,0.149
1009,0,1,55,23.914,27.311,23.905,0.239,0.158
1010,0,1,60,23.976,27.396,23.902,0.23,0.171
