2,10396,"Selina Jörg, Lukas Straumann","oel",201012221130,,,,
"ID","Gegendruck [kPa]","On/Off control","Frequenz [Hz]","TempMedium [°C]","TempPumpe [°C]","TempUmgebung [°C]","FlussSensor [ml/sec]","FlussWaage[ml/sec]"
1001,10,1,200,23.656,25.218,23.698,0.331,0.229
1002,7.5,1,200,23.675,25.272,23.788,0.342,0.215
1003,5,1,200,23.699,25.231,24.052,0.359,0.268
1004,2.5,1,200,23.669,25.028,23.702,0.369,0.277
1005,0,1,200,23.659,24.6,24.015,0.377,0.281
1006,-2.5,1,200,23.671,24.313,23.689,0.389,0.321
1007,-5,1,200,23.728,24.624,23.743,0.403,0.33
1008,-7.5,1,200,23.765,24.524,23.717,0.414,0.347
1009,-1,1,200,23.804,24.7,23.587,0.417,0.347
1010,-2.5,0,200,23.656,24.341,23.547,0.047,0.044
1011,-5,0,200,23.675,24.666,23.63,0.09,0.07
1012,-7.5,0,200,23.699,24.597,23.574,0.127,0.11
1013,-1,0,200,23.708,24.891,23.713,0.15,0.075
