2,10407,"Selina Jörg, Lukas Straumann","water",201012231417,,,,
"ID","Gegendruck [kPa]","On/Off control","Frequenz [Hz]","TempMedium [°C]","TempPumpe [°C]","TempUmgebung [°C]","FlussSensor [ml/sec]","FlussWaage[ml/sec]"
1001,10,1,50,22.559,25.152,24.028,4.816,1.456
1002,7.5,1,50,22.586,25.928,23.889,6.139,1.884
1003,5,1,50,22.617,26.176,23.969,7.434,2.3
1004,2.5,1,50,22.578,25.909,23.897,8.046,2.6
1005,0,1,50,22.633,26.2,23.923,9.06,3.068
1006,-2.5,1,50,22.693,25.856,24.043,10.364,3.744
1007,-5,1,50,22.729,26.319,23.916,12.197,4.92
1008,-7.5,1,50,22.71,26.195,23.897,15.469,6.396
1009,-10,1,50,22.762,24.828,23.84,19.223,7.628
